Programme,Etudiant_Directeur,Titre_Projet,Manuscrit_soumis,Grade_obtenu
Bio-informatique,Geneviève Boucher / Normand Mousseau,Exploration des mécanismes d’agrégation de peptides amyloïdes,07/12/2005,12/01/2006
Bio-informatique,Mohamed Tikah Marrakchi / Sylvie Hamel / co: Andreea Schmitzer,Helix Explorer : une nouvelle base de données de structures de protéines,21/12/2006,01/02/2007
Bio-informatique,Valentin Guignon / Sylvie Hamel / co : Cedric Chauve,Algorithme de comparaison de structures secondaires d’ARN,07/11/2006,07/12/2006
Bio-informatique,Tan Wang / Joelle Pelletier,Linker-scanning analysis of the HIV-1 integrase protein,28/04/2006,05/10/2006
Bio-informatique,Audrey Noël / Pavel Hamet / co : Ettore Merlo,"Recherche de déterminants génomiques impliqués dans l’hypertension, sur le chromosome X, chez des familles du Saguenay-Lac-St-Jean",17/12/2007,07/02/2008
Bio-informatique,Louis Philippe Lavoie / François Major,Analyse de motifs d’ARN,19/11/2007,10/01/2008
Bio-informatique,Guy Larochelle / Hervé Philippe / co : Michel Bouvier,Recherche d’une empreinte phylogénétique relié à la fonctionnalité des récepteurs couplés aux protéines G,31/07/2007,06/09/2007
Bio-informatique,Fabrice Baro / Hervé Philippe,Phylogénie et transferts horizontaux de gènes chez les bactéries,03/07/2007,02/08/2007
Bio-informatique,Sébastien Christin / Nadia El-Mabrouk,Recherche de snoRNA dans le génome de S. cerevisiae à l’aide d’information biologique ainsi que d’analyses statistiques et informatiques,27/05/2007,02/08/2007
Bio-informatique,Nicolas Saint-Onge / François Major,"MC-MAP, un nouvel outil d’intégration de motifs",12/04/2007,03/05/2007
Bio-informatique,Jean-François St-Pierre / Normand Mousseau,Méthodes de simulations moléculaires accélérées : application et développement,23/03/2007,03/05/2007
Bio-informatique,Wafae El Alaoui / Hervé Philippe,Datation moléculaire et artefact dû à la saturation mutationnelle,10/12/2008,12/01/2009
Bio-informatique,Xiao Zhu / Traian Sulea / co : Robert Ménard,Structural bioinformatics analysis of the family of human ubiquitin-specific proteases,26/06/2008,03/07/2008
Bio-informatique,Louis-Philippe Lemieux Perreault / Ettore Merlo / co : Pavel Hamet,Algorithme génétique spécifique à l’analyse de la susceptibilité à l’hypertension de la population du Saguenay-Lac-Saint-Jean,02/05/2008,05/06/2008
